,city,price,rating,store,title,ulasan
0,Jakarta Selatan,7.499.000,4.9,"
Kedai Gadget
",Samsung Galaxy Note 9 Dual Sim SEIN Ram 6GB Internal 128GB Garansi Resmi Samsung Indonesia Fullset Mulus Muraaah Berbonus,7
1,Sukoharjo,26.500.000,0,"
PEYOK Social Club
",iPhone 11 Pro & Pro Max,0
2,Indramayu,2.050.000,5.0,"
muhammad khaerul
",SONY XZ GLOBAL NEW GARANSI 1 TAHUN TUKAR UNIT BUKAN SERVICE DIJAMIN AMANAH,2
3,Indramayu,3.200.000,2.0,"
muhammad khaerul
",SONY XZS GLOBAL NEW GARANSI 1 TAHUN TUKAR UNIT BUKAN SERVICE SEGEL BOX,2
4,Kab. Cirebon,1.616.000,4.6,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A10,28
5,Lubuklinggau,1.125.000,0,"
erickhilz86
",realme c1 ram 2gb internal 16gb fullset bawwan pabrik,0
6,Kab. Cirebon,3.125.000,4.6,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A50 4GB,28
7,Kab. Cirebon,3.770.000,4.7,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A50 6GB,3
8,Jakarta Timur,1.850.000,4.8,"
Official FSTORE
",Realme 3,146
9,Jakarta Timur,1.850.000,4.9,"
Official FSTORE
",OPPO Realme 3,47
10,Jakarta Timur,2.050.000,5.0,"
Official FSTORE
",Realme 3 Ram 4gb,3
11,Jakarta Timur,2.050.000,4.9,"
Official FSTORE
",OPPO Realme 3 Ram 4gb,49
12,Malang,7.000.000,0,"
Naisyaturahma 07
",dijual Huawei P30 Pro 8Gb-256Gb Dual Sim Bekas Fullset Original,0
13,Malang,7.170.000,0,"
Naisyaturahma 07
",dijual Samsung Galaxy S10 Plus 128Gb SEIN Dual Sim Bekas Fullset Mulus,0
14,Jakarta Timur,1.490.000,4.9,"
Official FSTORE
",OPPO Realme C2 Ram 3GB,12
15,Jakarta Timur,1.490.000,4.9,"
Official FSTORE
",Realme C2 Ram 3GB,18
16,Jakarta Timur,1.305.000,4.8,"
Official FSTORE
",REALME C2,24
17,Jakarta Timur,1.305.000,4.8,"
Official FSTORE
",OPPO REALME C2,78
18,Tangerang,2.075.000,4.8,"
Gadget Soulmate
",realme 3 ram 4gb internal 64gb,35
19,Tangerang,1.315.000,4.7,"
Gadget Soulmate
",realme c2 garansi resmi by oppo,13
20,Jakarta Timur,1.490.000,5.0,"
Official FSTORE
",REALME C2 RAM 3GB GARANSI RESMI,9
21,Tangerang,2.585.000,4.8,"
Gadget Soulmate
",realme 3 pro ram 4gb internal 64gb garansi resmi,14
22,Tangerang,1.500.000,4.8,"
Gadget Soulmate
",realme c2 ram 3gb internal 32gb,44
23,Tangerang,3.199.000,5.0,"
Gadget Soulmate
",realme 3 pro ram 6gb internal 128gb resmi,16
24,Tangerang,2.750.000,5.0,"
Gadget Soulmate
",realme 3 pro 6gb internal 64gb,4
25,Tangerang,1.840.000,5.0,"
Gadget Soulmate
",realme 3 ram 3gb internal 64gb garansi resmi by oppo,1
26,Tangerang,2.750.000,5.0,"
Gadget Soulmate
",realme 5 pro 4gb rom 128gb,1
27,Jakarta Barat,1.139.000,0,"
XIAOMI SHOP
",xiaomi redmi 4x ram 2gb rom 16gb original bergaransi,0
28,Jakarta Barat,1.175.000,4.5,"
XIAOMI SHOP
",xiaomi redmi 4x ram 3gb rom 32gb bergaransi,8
29,Jakarta Barat,1.650.000,4.9,"
XIAOMI SHOP
",xiaomi redmi 4x ram 4gb 64gb bergaransi,14
30,Jakarta Pusat,1.000.000,0,"
Astatama
",Xiaomi Qin 1s Android Candy bar Phone 4G LTE,0
31,Jakarta Timur,2.799.000,4.6,"
Official FSTORE
",REALME 3 PRO 6 GB RAM 64 ROM,5
32,Jakarta Timur,2.725.000,0,"
Official FSTORE
",Realme 5 Pro,0
33,Jakarta Timur,2.725.000,0,"
Official FSTORE
",Realme 5 Pro Ram 4gb,0
34,Bekasi,4.249.000,5.0,"
TemanPonsel
",Samsung S8 fullset DualSim ORI samsung masih garansi 4-64gb muluss,3
35,Jakarta Utara,1.999.000,4.8,"
JAYA STORE
",OPPO A5S NEW,110
36,Tangerang,4.599.000,0,"
Gadget Soulmate
",oppo f11 pro ram 6gb internal 64gb,0
37,Jakarta Utara,1.999.000,5.0,"
JAYA STORE
",REALME 3,35
38,Tangerang,3.599.000,4.9,"
Gadget Soulmate
",Oppo f11 ram 4 internal 128 resmi,10
39,Tangerang,4.599.000,5.0,"
Gadget Soulmate
",Oppo f11 pro ram 6 internal 64 garansi resmi,4
40,Jakarta Utara,2.099.000,4.8,"
JAYA STORE
",OPPO A5S NEW RAM 3 ROM 32,82
41,Tangerang,1.999.000,4.9,"
Gadget Soulmate
",Oppo A5s ram 3 internal 32 resmi,17
42,Jakarta Utara,1.799.000,4.9,"
JAYA STORE
",REALME C2 RAM 3GB garansi Resmi Realme OPPO,51
43,Jakarta Utara,1.799.000,4.9,"
JAYA STORE
",OPPO A1K New,11
44,Tangerang,1.700.000,5.0,"
Gadget Soulmate
",oppo a1k ram 2gb internal 32gb,4
45,Jakarta Utara,3.799.000,5.0,"
JAYA STORE
",REALME 3 PRO RAM 6GB  ROM 128 GARANSI RESMI OPPP REALME,6
46,Tangerang,5.299.000,0,"
Gadget Soulmate
",realme x 8gb rom 256gb,0
47,Jakarta Utara,2.999.000,0,"
JAYA STORE
",OPPO A5 2020 GARANSI RESMI OPPO 1Tahun,0
48,Jakarta Utara,4.299.000,5.0,"
JAYA STORE
",OPPO A9 2020 GARANSI RESMI OPPO 1Tahun,2
49,Tangerang,3.999.000,0,"
Gadget Soulmate
",oppo a9 ram 8gb,0
50,Jakarta Utara,3.099.000,5.0,"
JAYA STORE
",REALME 5 PRO GARANSI RESMI OPPO REALME,6
51,Jakarta Utara,3.699.000,0,"
JAYA STORE
",REALME 5 PRO RAM 8GB,0
52,Bekasi,6.699.000,0,"
TemanPonsel
",Samsung Galaxy s9 plus 128gb sein,0
53,Bekasi,3.549.000,0,"
TemanPonsel
",oppo f11 pro 6-64 second likenew,0
54,Tangerang,1.895.000,4.8,"
Gadget Soulmate
",asus zenfone max pro M1 ram 4GB internal 64GB resmi asus,42
55,Tangerang,2.795.000,4.7,"
Gadget Soulmate
",asus zenfone 5 ram 4GB internal 64GB ZE620KL resmi,30
56,Tangerang,2.285.000,4.9,"
Gadget Soulmate
",asus zenfone max pro m1 ram 6gb int 64gb resmi tam,51
57,Tangerang,1.005.000,4.8,"
Gadget Soulmate
",asus zenfone live l2 ram 2gb rom 16gb,12
58,Tangerang,1.710.000,0,"
Gadget Soulmate
",asus zenfone max m2,0
59,Tangerang,2.085.000,0,"
Gadget Soulmate
",asus zenfone max m2 4gb,0
60,Tangerang,2.750.000,4.4,"
Gadget Soulmate
",samsung galaxy A7 2018,5
61,Tangerang,3.999.000,0,"
Gadget Soulmate
",samsung galaxy a9 2018,0
62,Tangerang,2.220.000,0,"
Gadget Soulmate
",samsung galaxy m20 ram 3gb int 32gb resmi sein,0
63,Tangerang,3.299.000,4.9,"
Gadget Soulmate
",samsung galaxy a50 ram 4gb internal 64gb garansi resmi,8
64,Tangerang,1.585.000,5.0,"
Gadget Soulmate
",samsung galaxy a10 garansi resmi,3
65,Tangerang,2.049.000,4.2,"
Gadget Soulmate
",samsung galaxy a20,9
66,Tangerang,2.769.000,4.5,"
Gadget Soulmate
",samsung galaxy a30,2
67,Tangerang,15.999.000,0,"
Gadget Soulmate
",samsung galaxy note 10 plus 512GB resmi sein,0
68,Tangerang,3.035.000,0,"
Gadget Soulmate
",samsung galaxy m30 ram 4gb rom 64gb garansi resmi,0
69,Tangerang,3.799.000,0,"
Gadget Soulmate
",samsung galaxy a50s,0
70,Tangerang,1.825.000,0,"
Gadget Soulmate
",samsung galaxy a10s,0
71,Tangerang,1.185.000,4.9,"
Gadget Soulmate
",xiaomi redmi 6a Tam resmi,14
72,Tangerang,2.500.000,4.8,"
Gadget Soulmate
",xiaomi mi 8 lite garansi resmi TAM,8
73,Tangerang,2.525.000,5.0,"
Gadget Soulmate
",xiaomi redminote 7 ram 4gb internal 64gb garansi TAM,3
74,Tangerang,1.245.000,0,"
Gadget Soulmate
",xiaomi redmi 7a TAM,0
75,Kab. Cirebon,4.820.000,4.3,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A70,3
76,Surabaya,1.250.000,4.8,"
XEN COMP
",Blaupunkt Soundphone S2 Gold,22
77,Tangerang,6.499.000,4.6,"
Gadget Soulmate
",iphone 7 plus 128gb,11
78,Bekasi,599.000,4.4,"
Raja Storage
",Evercoss S45 1GB 8GB 4G LTE Handphone Android Smartphone Murah,11
79,Kab. Cirebon,7.879.000,0,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A80,0
80,Semarang,7.000.000,0,"
Rajab
",iphone 8 plus 256gb gold,0
81,Jakarta Timur,1.990.000,4.6,"
Queen shop
",VIVO Y12 RAM 3 64GB,9
82,Jakarta Barat,3.450.000,5.0,"
Ruddy
",oppo k3 jade black bnib cuma 1 unit,1
83,Sukoharjo,6.500.000,0,"
Putri Milati
",Samsung S10 8 128GB Black,0
84,Jakarta Utara,850.000,4.8,"
GoldenCityCell
",SONY X PERFORMANCE 3-32GB SOFTBANK UNIT ONLY.,34
85,Jakarta Timur,3.494.000,4.9,"
Queen shop
",VIVO V15 RESMI,33
86,Jakarta Timur,2.574.000,4.8,"
Queen shop
",VIVO Y17,24
87,Jakarta Utara,1.775.000,4.7,"
GoldenCityCell
",Sony Xperia XZs  ORIGINAL - FULLSET RAM 4 GB - 32 GB - Mulus,53
88,Jakarta Timur,3.274.000,4.8,"
Queen shop
",VIVO S1,41
89,Jakarta Timur,1.499.000,4.7,"
Queen shop
",VIVO Y91 RESMI,68
90,Bekasi,4.649.000,0,"
TemanPonsel
",Samsung Galaxy S8 Plus Dual Resmi Sein,0
91,Jakarta Timur,2.794.000,4.8,"
Queen shop
",Realme 3pro ram 6 64GB Garansi Resmi,6
92,Jakarta Timur,1.534.000,5.0,"
Queen shop
",Realme C2 Ram 3 32GB Garansi Resmi,8
93,Bekasi,6.299.000,0,"
TemanPonsel
",Samsung Galaxy s9 plus 64gb - fullset oem,0
94,Malang,2.500.000,0,"
Doni Usman
",LG V30 64gb,0
95,Malang,6.000.000,0,"
Doni Usman
",iPhone 8 plus 64Gb Gold,0
96,Kab. Bogor,530.000,4.0,"
Global Cellular
",Xiaomi Redmi 2 Ram 1GB- Rom 8GB,2
97,Jakarta Selatan,6.500.000,0,"
Vianton Rahmat
",Samsung Galaxy Note 9 Ram 8 512gb,0
98,Jakarta Barat,2.299.000,0,"
Fendi Kristianto
",Samsung Galaxy J7 2016 - Samsung J710 - Garansi Resmi,0
99,Jakarta Barat,180.000,0,"
Fendi Kristianto
",Nokia 1110,0
100,Kab. Tangerang,2.300.000,0,"
arena.modifikasi
",iphone 6 32 garansi resmi ibox,0
101,Semarang,3.000.000,0,"
Blessed    To  Bless
",Oppo F11,0
102,Semarang,1.750.000,0,"
Blessed    To  Bless
",Oppo A5s  RAM 3gb Internal 32gb,0
103,Jakarta Barat,699.000,5.0,"
Fendi Kristianto
",Smartfren Andromax A 4G LTE -,1
104,Cilacap,1.250.000,0,"
rohmahmart
",handphone Redmi 6a ram 2 memori internal 16 gb,0
105,Jakarta Barat,269.000,4.7,"
Clagel CELL
",hp gunung brandcode b81,33
106,Jakarta Barat,525.000,4.4,"
Clagel CELL
",HP OUTDOOR ANDROID BRANDCODE B6S,34
107,Jakarta Pusat,1.450.000,0,"
benzwatch
",Samsung A3 2017 Black Resmi Sein,0
108,Jakarta Barat,879.000,4.8,"
Clagel CELL
",xiaomi redmi 3S. ram 2gb.  16GB,14
109,Jakarta Pusat,1.490.000,0,"
benzwatch
",Oppo F5 4-32GB,0
110,Jakarta Pusat,9.250.000,0,"
benzwatch
",Samsung Galaxy S10 plus Sein,0
111,Jakarta Barat,975.000,4.4,"
Clagel CELL
",XIAOMI REDMI 3S. RAM 2GB. ORIGINAL XIAOMI,35
112,Jakarta Pusat,5.350.000,0,"
benzwatch
",Samsung Galaxy S9 Resmi Sein,0
113,Jakarta Pusat,2.490.000,4.6,"
benzwatch
",samsung galaxy A8 2018,11
114,Jakarta Pusat,6.750.000,4.8,"
benzwatch
",Samsung Galaxy S9 Plus Resmi Sein,18
115,Jakarta Pusat,2.490.000,4.8,"
benzwatch
",Samsung Galaxy Note 5 Sein Dual Sim SM-N9208,24
116,Jakarta Pusat,5.540.000,4.9,"
benzwatch
",Samsung Galaxy Note 8 dual Resmi Sein,27
117,Jakarta Barat,10.750.000,5.0,"
Mobile Singapore
",Almond Gold OnePlus 7 Pro 8GB 256GB Global ROM,1
118,Jakarta Barat,8.200.000,0,"
Mobile Singapore
",Xiaomi Mimix 3 Global Rom 8GB 128GB Jakarta Fast Delivery Jakarta,0
119,Jakarta Barat,3.399.000,5.0,"
Mobile Singapore
",Xiaomi Mi6 6GB 64GB Brand New In The Box Jakarta 1 Jam Delivery,3
120,Jakarta Barat,3.399.000,5.0,"
Mobile Singapore
",Xiaomi Mi6 6GB 64GB Brand New In The Box Jakarta 1 Jam Delivery,3
121,Jakarta Barat,8.800.000,0,"
Mobile Singapore
",OnePlus 7 Global Ram 12GB 256GB ROM Di Jakarta,0
122,Jakarta Barat,6.000.000,0,"
Mobile Singapore
",OnePlus 6 64GB  RAM 6GB Global Oxygen Brand New Grab Jakarta,0
123,Kab. Bekasi,620.000,0,"
Imam Andika
",Samsung Galaxy Grand Prime,0
124,Kab. Bekasi,780.000,0,"
Imam Andika
",Xiaomi Redmi Note 2 Ram 2gb Rom 16gb,0
125,Kab. Tasikmalaya,300.000,0,"
abdu asshomad
",nokia e72 2 unit borong,0
126,Jakarta Pusat,1.185.000,4.9,"
vhe shop
",Xiaomi Redmi 6a 2-16Gb Grs Tam,288
127,Jakarta Barat,899.000,4.8,"
Clagel CELL
",xiaomi redmi 4x . 4G LTE,63
128,Jakarta Barat,1.339.000,4.6,"
Clagel CELL
",xiaomi redmi 4X prime. 3gb. 32gb,50
129,Jakarta Barat,1.199.000,0,"
Clagel CELL
",xiaomi redmi 4x. ram 2gb -  16gb. black only,0
130,Jakarta Barat,1.199.000,5.0,"
Clagel CELL
",xiaomi redmi 4x ram 2gb. black only,4
131,Jakarta Barat,1.690.000,4.4,"
Clagel CELL
",xiaomi redmi 4X ram 4gb asli original,11
132,Jakarta Pusat,165.000,0,"
57 MJ Komputer
",HP SAMSUNG CARAMEL FLIP LIPAT E1272 DUAL SIM,0
133,Bandung,1.250.000,0,"
Pradita
",xiaomi mi5c 64gb gold,0
134,Jakarta Barat,2.600.000,0,"
Yustipcell
",Xiaomi Mi 9T Ram 6GB internal 128GB,0
135,Jakarta Barat,3.100.000,0,"
Yustipcell
",Samsung Galaxy A80 Ram 8GB 128GB,0
136,Jakarta Barat,2.700.000,0,"
Yustipcell
",Samsung Galaxy A70 Ram 6GB Internal 128GB,0
137,Jakarta Barat,1.200.000,0,"
Yustipcell
",INFINIX HOT 7 PRO,0
138,Jakarta Barat,2.250.000,0,"
Yustipcell
",Samsung Galaxy A50 Ram 6GB 128GB,0
139,Jakarta Barat,2.000.000,0,"
Yustipcell
",Samsung galaxy a50 ram 4gb internal 64gb,0
140,Jakarta Barat,2.650.000,0,"
Yustipcell
",Xiaomi Mi 9 Ram 6GB Rom 128GB,0
141,Jakarta Barat,2.300.000,0,"
Yustipcell
",Xiaomi Redmi K20 Pro Ram 6GB 128GB,0
142,Jakarta Pusat,1.199.000,0,"
garasiku
",Advan G2 Pro 3GB 32GB Garansi Resmi,0
143,Bandung,1.600.000,0,"
Pradita
",xiaomi mi max 2 4 64gb,0
144,Jakarta Utara,2.500.000,4.8,"
GoldenCityCell
",SONY XZ1 4-64GB SOFTBANK WS FULLSET,31
145,Jakarta Utara,1.070.000,4.7,"
GoldenCityCell
",Sony Xpedia XZ RAM  3GB 32GB SEKEN MULUS,52
146,Kab. Bogor,850.000,3.6,"
Wukanda cell
",oppo a37 2-16,18
147,Jakarta Pusat,2.180.000,0,"
firasella7624
",XIAOMI Mi 8 LITE Mi8 LITE - 64GB RAM 4GB - GARANSI 1 TAHUN,0
148,Jakarta Pusat,1.999.000,0,"
firasella7624
",xiaomi note 4x ram 4,0
149,Jakarta Pusat,2.999.000,0,"
firasella7624
",Realme 3 Pro 4GB 64GB,0
150,Jakarta Pusat,3.799.000,0,"
firasella7624
",VIVO V15 RAM 6GB INTERNAL 64GB ROYAL BLUE GLAMOUR RED,0
151,Jakarta Pusat,3.499.000,0,"
firasella7624
",Samsung Galaxy A30 - - Garansi Resmi Samsung Indnesia 1 Tahun,0
152,Jakarta Pusat,4.150.000,0,"
firasella7624
",SAMSUNG GALAXY A50 128GB RAM 6GB - GARANSI SEIN 1 TAHUN,0
153,Jakarta Pusat,2.500.000,0,"
firasella7624
",Redmi Note 7 4 64 GB,0
154,Jakarta Pusat,1.750.000,0,"
firasella7624
",ASUS ZENFONE MAX M2 ZB633KL 32GB RAM 3GB - GARANSI RESMI,0
155,Jakarta Pusat,1.650.000,0,"
firasella7624
",ASUS ZENFONE 4 MAX PRO ZC554KL 3-32 GARANSI RESMI 1 TAHUN,0
156,Jakarta Pusat,1.850.000,0,"
firasella7624
",XIAOMI Mi A2 LITE - 64GB RAM 4GB - GARANSI 1 TAHUN,0
157,Jakarta Pusat,5.500.000,0,"
Moningka
",Samsung Galaxy Note 9 Black 128gb sein dual sim masih garansi,0
158,Jakarta Pusat,5.000.000,0,"
Moningka
",jual Huawei mate 20 X like new,0
159,Kab. Bogor,2.620.000,0,"
OSMI SHOP
",XIAOMI REDMI NOTE 7 RAM 6GB INTERNAL 64GB,0
160,Kab. Bogor,1.250.000,5.0,"
OSMI SHOP
",XIAOMI REDMI 7A RAM 2GB INTERNAL 32GB NEW,1
161,Kab. Bogor,1.380.000,5.0,"
OSMI SHOP
",INFINIX SMART 3 PLUS GARANSI RESMI,6
162,Kab. Bogor,230.000,0,"
All shop
",SAMSUNG KEYSTONE 3 RESMI,0
163,Kab. Bogor,3.250.000,0,"
All shop
",VIVO S1 GARANSI RESMI,0
164,Kab. Bogor,950.000,0,"
All shop
",HOTWAV M6 RAM 3GB ROM 32GB RESMI,0
165,Kab. Bogor,3.350.000,5.0,"
All shop
",SAMSUNG A50 RAM 4GB-64GB - RESMI,2
166,Kab. Bogor,4.100.000,0,"
All shop
",SAMSUNG A50 RAM 6GB ROM 128GB SEIN RESMI,0
167,Kab. Bogor,4.050.000,5.0,"
All shop
",OPPO F11 PRO RAM 6GB-64GB RESMI,1
168,Kab. Bogor,3.800.000,5.0,"
All shop
",OPPO A9 RAM 8GB ROM 128GB RESMI,1
169,Kab. Bogor,1.180.000,4.3,"
All shop
",XIAOMI REDMI 4X PRIME RAM 3GB-32GB,53
170,Kab. Bogor,1.820.000,4.8,"
All shop
",INFINIX HOT 7 PRO RAM 6GB-64GB - RESMI,18
171,Karawang,2.480.000,0,"
HALAL MART
",Redmi note 7 garansi resmi by xiaomi,0
172,Karawang,2.089.900,5.0,"
HALAL MART
",Realme 2 pro 4 gb blue garansi resmi indonesia,1
173,Surabaya,3.999.000,3.0,"
kokowtc
",OPPO A9 RAM 8 GB INTERNAL 128GB,1
174,Surabaya,2.399.000,0,"
kokowtc
",OPPO A5 RAM 3GB INTERNAL 64 GB,0
175,Surabaya,2.999.000,0,"
kokowtc
",OPPO A5 RAM 4GB INTERNAL 128GB,0
176,Surabaya,2.849.000,0,"
kokowtc
",Samsung Galaxy M30,0
177,Surabaya,2.999.000,0,"
kokowtc
",Realme 5 Pro  Ram 4 internal 128 Gb,0
178,Surabaya,3.699.000,0,"
kokowtc
",Realme 5 Pro Ram 8 internal 128 Gb,0
179,Bandung,919.000,0,"
tesalm shop
",Meizu M6,0
180,Pekanbaru,1.600.000,0,"
Js Store
",Vivo Y95 Ram 4gb bekas,0
181,Jakarta Timur,1.975.000,5.0,"
mobile store
",Infinix S4 ram 6gb rom 64gb garansi resmi,2
182,Pati,200.000,0,"
Lapak Murah
",Asus Zenfone 4,0
183,Jakarta Barat,2.800.000,0,"
Wendy Gunawan
",Oppo F9 Pro Warna hitam Biru,0
184,Jakarta Barat,8.500.000,0,"
Wendy Gunawan
",Huawei P30,0
185,Kab. Bogor,550.000,5.0,"
OSMI SHOP
",XIAOMI REDMI 2 RAM 1GB ROM 8GB,4
186,Kab. Bogor,975.000,0,"
OSMI SHOP
",XIAOMI REDMI 5A RAM 2GB-16GB,0
187,Jakarta Pusat,2.900.000,0,"
Amanda Putri
",Xiaomi Mi9 SE 128gb blue,0
188,Jakarta Utara,800.000,4.7,"
GoldenCityCell
",Sony X Performance RAM 3 32 GB seken,51
189,Jakarta Pusat,1.581.000,5.0,"
vhe shop
",Samsung Galaxy A10 2-32GB Garansi Resmi Sein,21
190,Jakarta Pusat,2.199.000,0,"
garasiku
",Samsung Galaxy M20 3GB 32GB Garansi Resmi SEIN,0
191,Jakarta Pusat,2.524.000,4.9,"
garasiku
",Xiaomi Redmi Note 7 4GB 64GB Garansi Resmi TAM,7
192,Semarang,1.975.000,0,"
Blessed    To  Bless
",Vivo Y15,0
193,Semarang,1.750.000,0,"
Blessed    To  Bless
",Vivo Y12,0
194,Jakarta Barat,15.750.000,0,"
osxid
",READY Samsung Galaxy Note 10 Plus Aura Glow RAM 12 - Internal 512GB SEIN,0
195,Jakarta Barat,2.675.000,0,"
MURAH SEJAHTERA
",REALME 5 PRO GARANSI RESMI - OPPO - SAINGAN XIAOMI REDMI NOTE 7 - 8 - SAMSUNG - ASUS - IPHONE REALME X - 3 - VIVO,0
196,Jakarta Barat,2.675.000,0,"
MURAH SEJAHTERA
",REALME 5 PRO,0
197,Jakarta Barat,2.500.000,0,"
MURAH SEJAHTERA
",REALME 5,0
198,Malang,4.500.000,0,"
Vicky Santoso
",Samsung Galaxy S8 4gb 64gb eks SEIN,0
199,Bandung,1.177.000,5.0,"
Zafanier Olshop
",Xiaomi Redmi 6A 16 GB Segel Garansi Resmi TAM,8
200,Kab. Bogor,1.700.000,4.3,"
JM Store
",Oppo F5 - 4GB - 64GB,168
201,Karanganyar,3.044.000,0,"
joefred
",oppo k3 jade black like new bukan z1 pro atau realme 5 pro,0
202,Jakarta Timur,1.330.000,4.8,"
mobile store
",lenovo s5 ram 4gb rom 64gb garansi distributor,94
203,Kab. Bogor,1.800.000,4.6,"
Respect cellular
",Oppo F5 Ram 4 Internal 64 Giga,17
204,Bogor,1.530.000,4.9,"
VIV celluler
",OPPO A1K ROM 32 GARANSI RESMI,15
205,Bogor,1.172.000,4.9,"
VIV celluler
",redmi 6a garansi resmi tam,17
206,Bogor,1.415.000,4.8,"
VIV celluler
",vivo y91c rom32 garansi resmi,9
207,Bogor,1.495.000,4.8,"
VIV celluler
",samsung m10 garansi resmi,20
208,Bekasi,5.499.000,0,"
JJ SHOP
",VIVO V17 PRO RAM 8GB ROM 128GB GARANSI RESMI,0
209,Kab. Bogor,850.000,4.3,"
Toko Laku ID
",oppo a37 ram 2 gb rom 16gb,11
210,Bekasi,4.480.000,4.8,"
JJ SHOP
",VIVO V15 PRO,58
211,Bekasi,2.509.000,4.9,"
JJ SHOP
",VIVO Y17 GARANSI RESMI,30
212,Bekasi,2.493.000,4.9,"
JJ SHOP
",VIVO Y 17,36
213,Jakarta Barat,2.950.000,4.6,"
Senjaya Selindo
",Xiaomi Mi Max 3 Ram 4Gb Internal 64Gb Garansi Distributor 1 Tahun,12
214,Bekasi,2.229.000,5.0,"
JJ SHOP
",VIVO Y15,8
215,Bekasi,2.223.000,5.0,"
JJ SHOP
",VIVO Y 15,4
216,Bekasi,1.964.000,5.0,"
JJ SHOP
",VIVO Y12,5
217,Cilacap,1.799.000,0,"
Dede Wadirin
",vivo s1 128Gb,0
218,Bekasi,1.849.000,4.7,"
JJ SHOP
",VIVO Y 12,55
219,Bekasi,1.499.000,4.8,"
JJ SHOP
",VIVO Y91 C,56
220,Bekasi,1.499.000,4.8,"
JJ SHOP
",VIVO Y91C,39
221,Bekasi,1.499.000,4.8,"
JJ SHOP
",VIVO Y91,587
222,Cilacap,1.190.000,0,"
Dede Wadirin
",realme 5 Pro 8 128Gb murah,0
223,Kab. Bogor,520.000,4.5,"
Wukanda cell
",Redmi 2 Ram 1 - 8gb,4
224,Kab. Bogor,530.000,4.5,"
central phone
",Xiaomi Redmi 2 Ram 1 Rom 8GB,12
225,Serang,1.800.000,0,"
aria muhamad
",Zenfone Max M2 Ram 3 Rom 32,0
226,Kab. Bogor,1.175.000,0,"
OSMI SHOP
",XIAOMI NOTE 5A PRIME,0
227,Kab. Bogor,520.000,5.0,"
Nine cellular
",redmi 2 Ram 1 - Rom 8 Giga 4G,1
228,Jakarta Barat,4.570.000,4.6,"
Senjaya Selindo
",Xiaomi Mi 9T Ram 6Gb Internal  128Gb Garansi Distributor 1 Tahun,8
229,Kab. Bogor,850.000,3.7,"
Respect cellular
",Oppo A37 2gb-16gb,25
230,Jakarta Barat,4.050.000,5.0,"
Senjaya Selindo
",Xiaomi Mi 9T Ram 6Gb Internal  64Gb Garansi Distributor 1 Tahun,8
231,Jakarta Barat,3.760.000,5.0,"
Senjaya Selindo
",Xiaomi Mi 9 Se Ram 6Gb Internal 64Gb Garansi Distributor 1 Tahun,3
232,Jakarta Barat,4.140.000,5.0,"
Senjaya Selindo
",Xiaomi Pocophone F1 Ram 6Gb Internal 128Gb Garansi Distributor 1 tahun,1
233,Jakarta Barat,4.099.000,4.9,"
Senjaya Selindo
",Xiaomi Mi 9 SE Ram 6Gb Internal 128Gb Garansi Distributor 1 Tahun,15
234,Jakarta Barat,2.580.000,4.9,"
Senjaya Selindo
",Xiaomi Redmi Note 7 Ram 4Gb Internal 64Gb Garansi Resmi TAM,27
235,Jakarta Barat,1.900.000,5.0,"
Senjaya Selindo
",Xiaomi Redmi 7 Ram 3Gb Internal 64Gb Garansi Distributor,5
236,Jakarta Barat,1.280.000,4.7,"
Senjaya Selindo
",Gome U7 Ram 4Gb Internal 64Gb Garansi Distributor 1 Tahun,90
237,Jakarta Barat,1.175.000,4.5,"
Senjaya Selindo
",Gome Fenmmy Note Ram 4Gb Internal 64Gb Garansi Distributor 1 Tahun,13
238,Jakarta Barat,2.600.000,4.8,"
Senjaya Selindo
",Xiaomi Redmi Note 7 Ram 4 GB Internal 128 GB Garansi Distributor 1 Tahun,461
239,Kab. Bogor,520.000,3.8,"
HIT Shop
",Xiaomi Redmi 2 1-8GB,4
240,Jakarta Barat,2.680.000,4.9,"
Senjaya Selindo
",Xiaomi Redmi note 7 Ram 6Gb Internal 64Gb Garansi Distributor,50
241,Jakarta Barat,5.499.000,5.0,"
Senjaya Selindo
",Xiaomi Mi 8 Pro Ram 8Gb Internal 128Gb,1
242,Kab. Bogor,850.000,4.3,"
central phone
",Oppo A37,148
243,Jakarta Barat,1.750.000,4.8,"
Senjaya Selindo
",Xiaomi Mi Play Ram 4Gb Internal 64Gb Garansi Distributor,160
244,Jakarta Pusat,3.190.000,4.7,"
benzwatch
",Samsung A8 plus Resmi Sein,10
245,Tangerang Selatan,1.500.000,0,"
Dadang Purwandi
",Xiaomi A2 LTE,0
246,Muara Enim,1.500.000,0,"
Aneka Barang
",Nokia E90 Communicator,0
247,Muara Enim,7.800.000,0,"
Aneka Barang
",Samsung Galaxy A80 Ram 8GB Rom 128GB Second,0
248,Jakarta Barat,1.235.000,0,"
Senjaya Selindo
",Xiaomi Redmi 7A Ram 2Gb Internal 32Gb Garansi Distributor 1 Tahun,0
249,Jakarta Barat,6.450.000,0,"
Senjaya Selindo
",Xiaomi Redmi K20 Pro Ram 8Gb Internal 128Gb Garansi Distributor,0
